threshold,row_precision,row_recall,row_f1,false_alarm_rate,event_recall,mean_detection_delay,median_detection_delay,detected_runs,faulty_runs
0.04213248938322067,0.83228,1.0,0.9084637719125899,1.0,1.0,-130.27586206896552,-130.0,145,145
0.13309518620371819,0.8410134401869939,0.9683760272985054,0.9002122193678098,0.9084187932268066,1.0,-129.3793103448276,-130.0,145,145
0.15856820717453957,0.8539012043986735,0.9404527322535685,0.8950895409738581,0.7984736465537801,1.0,-128.17241379310346,-130.0,145,145
0.1804335918277502,0.86816,0.9127216802037775,0.8898833231807319,0.6878130217028381,1.0,-125.89655172413794,-130.0,145,145
0.20039092749357224,0.884894158306533,0.8859999038785025,0.8854466858789626,0.5719055568805151,1.0,-122.48275862068965,-130.0,145,145
0.22290079481899738,0.9011671972108534,0.8571634546066228,0.8786147100842406,0.466491772000954,1.0,-113.96551724137932,-120.0,145,145
0.24909863248467445,0.9165333333333333,0.8259239678954198,0.8688727658821448,0.37324111614595756,1.0,-106.89655172413794,-115.0,145,145
0.2819701582193374,0.9333069798960921,0.7942999951939251,0.8582110865896404,0.28165990937276414,1.0,-95.44827586206897,-105.0,145,145
0.32775869965553284,0.9520609587808244,0.762627961743644,0.8468805038159791,0.19055568805151443,1.0,-74.41379310344827,-90.0,145,145
0.3937023915350437,0.969344,0.7279281011198154,0.8314668423364074,0.11423801574051991,1.0,-44.172413793103445,-60.0,145,145
0.49460512399673456,0.9839539189467188,0.6896236843370019,0.8109070358858435,0.05580729787741474,1.0,8.068965517241379,5.0,145,145
0.6699059680104256,0.9932801654113129,0.6464651319267554,0.7831960173513056,0.021702838063439065,0.9793103448275862,66.79577464788733,25.0,142,145
0.8583490550518036,0.9972,0.5990772336232999,0.7484913081334253,0.008347245409015025,0.9310344827586207,85.40441176470588,30.0,136,145
0.960140511393547,0.9989526968057253,0.5501033306098909,0.7094994576166125,0.0028619127116622945,0.903448275862069,94.28030303030303,37.5,132,145
0.9853718131780624,0.9993280215033119,0.500312394867112,0.6667947732513452,0.001669449081803005,0.8275862068965517,95.29166666666667,40.0,120,145
0.9918950498104095,0.99968,0.45042533762676024,0.6210324034192565,0.0007154781779155736,0.7724137931034483,81.29464285714286,40.0,112,145
0.9945008754730225,0.9997600191984641,0.4004421588888355,0.5718403623760338,0.0004769854519437157,0.7379310344827587,82.75700934579439,45.0,107,145
0.995743915438652,0.9998628634119583,0.35041091940212427,0.5189508523434997,0.00023849272597185786,0.6896551724137931,76.8,40.0,100,145
0.996743693947792,1.0,0.3003796799154131,0.46198765568984,0.0,0.6551724137931034,79.42105263157895,45.0,95,145
0.997513473033905,1.0,0.25034844042870186,0.4004458794587946,0.0,0.6344827586206897,101.84782608695652,45.0,92,145
0.9981186985969543,1.0,0.20031720094199068,0.33377377377377376,0.0,0.5724137931034483,94.57831325301204,45.0,83,145
0.9986013770103455,1.0,0.150237900706493,0.26122926503154636,0.0,0.5310344827586206,124.6103896103896,60.0,77,145
0.9990257024765015,1.0,0.10015860047099534,0.18208029356515662,0.0,0.41379310344827586,167.58333333333334,72.5,60,145
0.9992818683385849,1.0,0.05007930023549767,0.0953819396768731,0.0,0.2206896551724138,85.15625,50.0,32,145
0.9996926784515381,1.0,4.806074878646609e-05,9.611687812379853e-05,0.0,0.006896551724137931,420.0,420.0,1,145
