threshold,accuracy,precision,recall,f1,false_alarm_rate,false_positive_rate,false_negative_rate,tp,fp,tn,fn
-6.89718689401679,0.95238,0.95238,1.0,0.9756092563947593,1.0,1.0,0.0,95238,4762,0,0
-0.590356116347314,0.91347,0.9517493973892083,0.9576954576954577,0.9547131694500998,0.9710205795884083,0.9710205795884083,0.0423045423045423,91209,4624,138,4029
-0.4821070607358467,0.87794,0.9529051120371784,0.9171654171654172,0.9346937465222789,0.9065518689626207,0.9065518689626207,0.08283458283458284,87349,4317,445,7889
-0.41372623115105106,0.84418,0.9551771428571428,0.8775698775698776,0.9147303790125754,0.8236035279294414,0.8236035279294414,0.12243012243012243,83578,3922,840,11660
-0.35991357744759855,0.80993,0.9573878295513182,0.8377118377118377,0.8935605445453069,0.7456950860982781,0.7456950860982781,0.16228816228816229,79782,3551,1211,15456
-0.3142627710891403,0.77576,0.9598817674254099,0.7978957978957979,0.8714249673172634,0.6669466610667787,0.6669466610667787,0.2021042021042021,75990,3176,1586,19248
-0.27288302015148147,0.7417,0.96272,0.7581427581427581,0.8482712437881083,0.5871482570348593,0.5871482570348593,0.24185724185724186,72204,2796,1966,23034
-0.23306694228427424,0.70821,0.966301017887143,0.7186837186837187,0.8242980411992461,0.501259974800504,0.501259974800504,0.28131628131628134,68446,2387,2375,26792
-0.19409481952083407,0.67437,0.9700601496992515,0.679046179046179,0.7988758840060529,0.4191516169676606,0.4191516169676606,0.32095382095382097,64671,1996,2766,30567
-0.1542495275057582,0.64028,0.974128,0.6392721392721392,0.7719509566496342,0.3395632087358253,0.3395632087358253,0.3607278607278607,60883,1617,3145,34355
-0.11115423206988409,0.60539,0.9780913033788764,0.5990780990780991,0.7430439340760951,0.26837463250734983,0.26837463250734983,0.40092190092190094,57055,1278,3484,38183
-0.06486118022718212,0.57113,0.9832370262336847,0.5592200592200592,0.7129480271744588,0.19067618647627047,0.19067618647627047,0.44077994077994076,53259,908,3854,41979
-0.010992318284936853,0.53592,0.9883,0.5188580188580189,0.6804692986683926,0.12284754304913902,0.12284754304913902,0.48114198114198115,49415,585,4177,45823
0.05363243892950668,0.49951,0.992974494359959,0.47786597786597784,0.645221200672002,0.06761864762704746,0.06761864762704746,0.5221340221340222,45511,322,4440,49727
0.13819001372613152,0.46195,0.9971920224638203,0.4362754362754363,0.606990248712611,0.024569508609827803,0.024569508609827803,0.5637245637245637,41550,117,4645,53688
0.2560370118182299,0.42216,0.9993866666666666,0.3935088935088935,0.5646762795883621,0.004829903401931962,0.004829903401931962,0.6064911064911065,37477,23,4739,57761
0.4082514531963314,0.38094,0.999970000599988,0.34999684999685,0.5185110288398718,0.00020999580008399833,0.00020999580008399833,0.65000315000315,33333,1,4761,61905
0.583060153923715,0.33929,1.0,0.30625380625380627,0.4689039829588843,0.0,0.0,0.6937461937461937,29167,0,4762,66071
0.7362192295551651,0.29762,1.0,0.2625002625002625,0.41584191353814925,0.0,0.0,0.7374997374997375,25000,0,4762,70238
0.8742526307097498,0.25596,1.0,0.21875721875721876,0.35898407884761185,0.0,0.0,0.7812427812427812,20834,0,4762,74404
1.0204290320227591,0.21429,1.0,0.175003675003675,0.29787766409007643,0.0,0.0,0.824996324996325,16667,0,4762,78571
1.2597758007112883,0.17262,1.0,0.13125013125013124,0.2320444040171527,0.0,0.0,0.8687498687498687,12500,0,4762,82738
2.5076970192823023,0.13096,1.0,0.08750708750708751,0.16093152589502954,0.0,0.0,0.9124929124929125,8334,0,4762,86904
12.728459976550331,0.08929,1.0,0.043753543753543754,0.08383884110457221,0.0,0.0,0.9562464562464562,4167,0,4762,91071
56.572259438410576,0.04763,1.0,1.05000105000105e-05,2.0999800501895233e-05,0.0,0.0,0.9999894999895,1,0,4762,95237
